Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2022,Remaining,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,27
2022,Remaining,JAN,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,19
2022,Remaining,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,31
2022,Remaining,JAN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,13
2022,Remaining,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,81
2022,Remaining,JAN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1919
2022,Remaining,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2013
2022,Remaining,JAN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,58
2022,Remaining,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,865
2022,Remaining,JAN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,8
