Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,44479.0
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,4046.0
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,2234.0
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,59725.0
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1138.0
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Apprehensions,1.0
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4315.0
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2684.0
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1951.0
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,904.0
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,4.0
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3.0
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,211.0
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,70.0
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,13.0
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4.0
2022,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,72.0
2022,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,25.0
2022,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,181.0
2022,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,430.0
2022,FYTD,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1602.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,17.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,20.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,31.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,28.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,14.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,70.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1941.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1811.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,77.0
2022,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1853.0
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4.0
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,17.0
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,17.0
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,110.0
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,26.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 42,Apprehensions,1080.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1846.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 42,Apprehensions,1978.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,1143.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 42,Apprehensions,4389.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,2625.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 42,Apprehensions,1744.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,184.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 42,Apprehensions,2714.0
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,31734.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Apprehensions,4310.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,179.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,12153.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,362.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,7720.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,540.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,41435.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1756.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,2319.0
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,38687.0
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1342.0
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,5272.0
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2582.0
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1783.0
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,725.0
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1.0
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2.0
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1.0
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,7.0
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3.0
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,166.0
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,38.0
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,9.0
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2.0
2022,FYTD,FEB,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,97.0
2022,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,66.0
2022,FYTD,FEB,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,261.0
2022,FYTD,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,322.0
2022,FYTD,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,811.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,33.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,9.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,30.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,18.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,80.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1995.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2016.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,56.0
2022,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,609.0
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,10.0
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,26.0
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,17.0
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,128.0
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,19.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 42,Apprehensions,457.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1051.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 42,Apprehensions,1844.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,313.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 42,Apprehensions,2916.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,691.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 42,Apprehensions,1561.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,150.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 42,Apprehensions,1236.0
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,14946.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Apprehensions,4166.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,194.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,10740.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,344.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,6859.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,464.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,60478.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2498.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,625.0
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,35858.0
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1129.0
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4840.0
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2759.0
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2498.0
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,553.0
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1.0
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,159.0
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,63.0
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,14.0
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2.0
2022,FYTD,JAN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,65.0
2022,FYTD,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,51.0
2022,FYTD,JAN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,183.0
2022,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,384.0
2022,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,901.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,7.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,27.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,19.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,31.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,13.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,81.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1919.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2013.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,58.0
2022,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,865.0
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,8.0
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,9.0
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,8.0
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,106.0
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,10.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 42,Apprehensions,469.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,828.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Apprehensions,1319.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,317.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 42,Apprehensions,3037.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,606.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 42,Apprehensions,1373.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,117.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 42,Apprehensions,2287.0
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,20066.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Apprehensions,3308.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,155.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,8806.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,247.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,5799.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,342.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,50207.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1947.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,920.0
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,37120.0
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,942.0
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3057.0
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1942.0
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2053.0
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,613.0
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2.0
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,3.0
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,21.0
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4.0
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,155.0
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,68.0
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,15.0
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4.0
2022,FYTD,JUL,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,264.0
2022,FYTD,JUL,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,278.0
2022,FYTD,JUL,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1679.0
2022,FYTD,JUL,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2634.0
2022,FYTD,JUL,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,4346.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,9.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,125.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,18.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,84.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,42.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,454.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1608.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2683.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,77.0
2022,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,3490.0
2022,FYTD,JUL,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,12.0
2022,FYTD,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,19.0
2022,FYTD,JUL,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,17.0
2022,FYTD,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,197.0
2022,FYTD,JUL,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,20.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 42,Apprehensions,722.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1201.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 42,Apprehensions,3100.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,562.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,Honduras,Title 42,Apprehensions,4346.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,1188.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 42,Apprehensions,1445.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,282.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 42,Apprehensions,305.0
2022,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,29700.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Apprehensions,3886.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,420.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,10356.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,518.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,8005.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,771.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,41050.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,3877.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,2540.0
2022,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,54557.0
2022,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1311.0
2022,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,5274.0
2022,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,3813.0
2022,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Apprehensions,1.0
2022,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1692.0
2022,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,912.0
2022,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1.0
2022,FYTD,JUN,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3.0
2022,FYTD,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,91.0
2022,FYTD,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,51.0
2022,FYTD,JUN,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,16.0
2022,FYTD,JUN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,8.0
2022,FYTD,JUN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,265.0
2022,FYTD,JUN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,292.0
2022,FYTD,JUN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1100.0
2022,FYTD,JUN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1766.0
2022,FYTD,JUN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,4310.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,13.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,109.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,25.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,66.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,11.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,335.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1637.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2387.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,93.0
2022,FYTD,JUN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2535.0
2022,FYTD,JUN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,12.0
2022,FYTD,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,45.0
2022,FYTD,JUN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,16.0
2022,FYTD,JUN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,224.0
2022,FYTD,JUN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,24.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,El Salvador,Title 42,Apprehensions,1002.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1638.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Apprehensions,4734.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,952.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,Honduras,Title 42,Apprehensions,6625.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,2245.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,Mexico,Title 42,Apprehensions,1635.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,294.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,Other,Title 42,Apprehensions,270.0
2022,FYTD,JUN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,24676.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Apprehensions,4013.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,500.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,11709.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,556.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,8672.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,764.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,52277.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,4444.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,1853.0
2022,FYTD,JUN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,48611.0
2022,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1571.0
2022,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,6268.0
2022,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,4406.0
2022,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Apprehensions,1.0
2022,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1923.0
2022,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,760.0
2022,FYTD,MAR,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1.0
2022,FYTD,MAR,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,1.0
2022,FYTD,MAR,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,12.0
2022,FYTD,MAR,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,1.0
2022,FYTD,MAR,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,175.0
2022,FYTD,MAR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,41.0
