Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1093.0
2021,FYTD,OCT,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,6.0
2019,FYTD,NOV,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,534.0
2021,FYTD,MAY,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,36.0
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,129.0
2020,FYTD,MAR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,128.0
2021,FYTD,OCT,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,7.0
2021,FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,43.0
2021,FYTD,MAY,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,25.0
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,269.0
2020,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,47.0
2021,FYTD,MAY,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2.0
2021,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,8253.0
2021,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,1022.0
2021,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,11.0
2021,FYTD,MAR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,19.0
2020,FYTD,JUN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,5.0
2021,FYTD,MAR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,184.0
2019,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,3036.0
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,5.0
2020,FYTD,NOV,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,28.0
2019,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2740.0
2019,FYTD,NOV,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,89.0
2021,FYTD,MAR,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,38.0
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1112.0
2021,FYTD,MAY,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,35.0
2020,FYTD,JUN,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,57.0
2021,FYTD,SEP,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,164.0
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,79.0
2019,FYTD,APR,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,233.0
2019,FYTD,MAR,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,971.0
2020,FYTD,MAY,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0.0
2020,FYTD,SEP,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,18.0
2020,FYTD,MAR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2.0
2021,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1505.0
2020,FYTD,JUL,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,31.0
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,112.0
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,1467.0
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,11.0
2020,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,19.0
